"Country","Confirmed","Deaths","Recovered","Active","Date","Lat","Long"
"Afghanistan",367,11,18,338,2020-04-06,"33.93911","67.709953"
"Albania",377,21,116,240,2020-04-06,"41.153332","20.168331"
"Algeria",1423,173,90,1160,2020-04-06,"28.033886","1.659626"
"Andorra",525,21,31,473,2020-04-06,"42.546245","1.601554"
"Angola",16,2,2,12,2020-04-06,"-11.202692","17.873887"
"Antigua and Barbuda",15,0,0,15,2020-04-06,"17.060816","-61.796428"
"Argentina",1554,48,325,1181,2020-04-06,"-38.416097","-63.616672"
"Armenia",833,8,62,763,2020-04-06,"40.069099","45.038189"
"Australia",5797,40,1080,4677,2020-04-06,"-25.274398","133.775136"
"Austria",12297,220,3463,8614,2020-04-06,"47.516231","14.550072"
"Azerbaijan",641,7,44,590,2020-04-06,"40.143105","47.576927"
"Bahamas",29,5,4,20,2020-04-06,"25.03428","-77.39628"
"Bahrain",756,4,458,294,2020-04-06,"25.930414","50.637772"
"Bangladesh",123,12,33,78,2020-04-06,"23.684994","90.356331"
"Barbados",60,2,6,52,2020-04-06,"13.193887","-59.543198"
"Belarus",700,13,53,634,2020-04-06,"53.709807","27.953389"
"Belgium",20814,1632,3986,15196,2020-04-06,"50.503887","4.469936"
"Belize",7,1,0,6,2020-04-06,"17.189877","-88.49765"
"Benin",26,1,5,20,2020-04-06,"9.30769","2.315834"
"Bhutan",5,0,2,3,2020-04-06,"27.514162","90.433601"
"Bolivia",183,11,2,170,2020-04-06,"-16.290154","-63.588653"
"Bosnia and Herzegovina",674,29,47,598,2020-04-06,"43.915886","17.679076"
"Botswana",6,1,0,5,2020-04-06,"-22.328474","24.684866"
"Brazil",12161,564,127,11470,2020-04-06,"-14.235004","-51.92528"
"Brunei",135,1,82,52,2020-04-06,"4.535277","114.727669"
"Bulgaria",549,22,39,488,2020-04-06,"42.733883","25.48583"
"Burkina Faso",364,18,108,238,2020-04-06,"12.238333","-1.561593"
"Burma",22,1,0,21,2020-04-06,"21.913965","95.956223"
"Burundi",3,0,0,3,2020-04-06,"-3.373056","29.918886"
"Cabo Verde",7,1,1,5,2020-04-06,"16.002082","-24.013197"
"Cambodia",114,0,53,61,2020-04-06,"12.565679","104.990963"
"Cameroon",658,9,17,632,2020-04-06,"7.369722","12.354722"
"Canada",16563,339,3256,12968,2020-04-06,"56.130366","-106.346771"
"Central African Republic",8,0,0,8,2020-04-06,"6.611111","20.939444"
"Chad",9,0,0,9,2020-04-06,"15.454166","18.732207"
"Chile",4815,37,728,4050,2020-04-06,"-35.675147","-71.542969"
"China",82665,3335,77310,2020,2020-04-06,"35.86166","104.195397"
"Colombia",1579,46,88,1445,2020-04-06,"4.570868","-74.297333"
"Congo (Brazzaville)",45,5,2,38,2020-04-06,"-0.228021","15.827659"
"Congo (Kinshasa)",161,18,5,138,2020-04-06,"-4.038333","21.758664"
"Costa Rica",467,2,18,447,2020-04-06,"9.748917","-83.753428"
"Cote d'Ivoire",323,3,41,279,2020-04-06,"7.539989","-5.54708"
"Croatia",1222,16,130,1076,2020-04-06,"45.1","15.2"
"Cuba",350,9,18,323,2020-04-06,"21.521757","-77.781167"
"Cyprus",465,9,45,411,2020-04-06,"35.126413","33.429859"
"Czechia",4822,78,121,4623,2020-04-06,"49.817492","15.472962"
"Denmark",4875,187,1489,3199,2020-04-06,"56.26392","9.501785"
"Diamond Princess",712,11,619,82,2020-04-06,"37.749860","-122.597784"
"Djibouti",90,0,9,81,2020-04-06,"11.825138","42.590275"
"Dominica",15,0,1,14,2020-04-06,"15.414999","-61.370976"
"Dominican Republic",1828,86,33,1709,2020-04-06,"18.735693","-70.162651"
"Ecuador",3747,191,100,3456,2020-04-06,"-1.831239","-78.183406"
"Egypt",1322,85,259,978,2020-04-06,"26.820553","30.802498"
"El Salvador",69,4,5,60,2020-04-06,"13.794185","-88.89653"
"Equatorial Guinea",16,0,3,13,2020-04-06,"1.650801","10.267895"
"Eritrea",31,0,0,31,2020-04-06,"15.179384","39.782334"
"Estonia",1108,19,62,1027,2020-04-06,"58.595272","25.013607"
"Eswatini",10,0,4,6,2020-04-06,"-26.522503","31.465866"
"Ethiopia",44,2,4,38,2020-04-06,"9.145","40.489673"
"Fiji",14,0,0,14,2020-04-06,"-16.578193","179.414413"
"Finland",2176,27,300,1849,2020-04-06,"61.92411","25.748151"
"France",98963,8926,17428,72609,2020-04-06,"46.227638","2.213749"
"Gabon",24,1,1,22,2020-04-06,"-0.803689","11.609444"
"Gambia",4,1,2,1,2020-04-06,"13.443182","-15.310139"
"Georgia",188,2,39,147,2020-04-06,"42.315407","43.356892"
"Germany",103374,1810,28700,72864,2020-04-06,"51.165691","10.451526"
"Ghana",214,5,31,178,2020-04-06,"7.946527","-1.023194"
"Greece",1755,79,269,1407,2020-04-06,"39.074208","21.824312"
"Grenada",12,0,0,12,2020-04-06,"12.262776","-61.604171"
"Guatemala",70,3,15,52,2020-04-06,"15.783471","-90.230759"
"Guinea",128,0,5,123,2020-04-06,"9.945587","-9.696645"
"Guinea-Bissau",18,0,0,18,2020-04-06,"11.803749","-15.180413"
"Guyana",31,4,8,19,2020-04-06,"4.860416","-58.93018"
"Haiti",24,1,0,23,2020-04-06,"18.971187","-72.285215"
"Holy See",7,0,0,7,2020-04-06,"41.902916","12.453389"
"Honduras",298,22,6,270,2020-04-06,"15.199999","-86.241905"
"Hungary",744,38,67,639,2020-04-06,"47.162494","19.503304"
"Iceland",1562,6,460,1096,2020-04-06,"64.963051","-19.020835"
"India",4778,136,375,4267,2020-04-06,"20.593684","78.96288"
"Indonesia",2491,209,192,2090,2020-04-06,"-0.789275","113.921327"
"Iran",60500,3739,24236,32525,2020-04-06,"32.427908","53.688046"
"Iraq",1031,64,344,623,2020-04-06,"33.223191","43.679291"
"Ireland",5364,174,25,5165,2020-04-06,"53.41291","-8.24389"
"Israel",8904,57,585,8262,2020-04-06,"31.046051","34.851612"
"Italy",132547,16523,22837,93187,2020-04-06,"41.87194","12.56738"
"Jamaica",58,3,8,47,2020-04-06,"18.109581","-77.297508"
"Japan",3654,85,575,2994,2020-04-06,"36.204824","138.252924"
"Jordan",349,6,126,217,2020-04-06,"30.585164","36.238414"
"Kazakhstan",662,6,46,610,2020-04-06,"48.019573","66.923684"
"Kenya",158,6,4,148,2020-04-06,"-0.023559","37.906193"
"Korea, South",10284,186,6598,3500,2020-04-06,"35.907757","127.766922"
"Kosovo",145,1,23,121,2020-04-06,"42.602636","20.902977"
"Kuwait",665,1,103,561,2020-04-06,"29.31166","47.481766"
"Kyrgyzstan",216,4,33,179,2020-04-06,"41.20438","74.766098"
"Laos",12,0,0,12,2020-04-06,"19.85627","102.495496"
"Latvia",542,1,16,525,2020-04-06,"56.879635","24.603189"
"Lebanon",541,19,60,462,2020-04-06,"33.854721","35.862285"
"Liberia",14,3,3,8,2020-04-06,"6.428055","-9.429499"
"Libya",19,1,1,17,2020-04-06,"26.3351","17.228331"
"Liechtenstein",77,1,55,21,2020-04-06,"47.166","9.555373"
"Lithuania",843,15,8,820,2020-04-06,"55.169438","23.881275"
"Luxembourg",2843,41,500,2302,2020-04-06,"49.815273","6.129583"
"Madagascar",82,0,2,80,2020-04-06,"-18.766947","46.869107"
"Malawi",5,0,0,5,2020-04-06,"-13.254308","34.301525"
"Malawi",5,0,0,5,2020-04-06,"-13.254308","34.301525"
"Malaysia",3793,62,1241,2490,2020-04-06,"4.210484","101.975766"
"Maldives",19,0,13,6,2020-04-06,"3.202778","73.22068"
"Mali",47,5,9,33,2020-04-06,"17.570692","-3.996166"
"Malta",241,0,5,236,2020-04-06,"35.937496","14.375416"
"Mauritania",6,1,2,3,2020-04-06,"21.00789","-10.940835"
"Mauritius",244,7,7,230,2020-04-06,"-20.348404","57.552152"
"Mexico",2143,94,633,1416,2020-04-06,"23.634501","-102.552784"
"Moldova",965,19,37,909,2020-04-06,"47.411631","28.369885"
"Monaco",77,1,4,72,2020-04-06,"43.750298","7.412841"
"Mongolia",15,0,2,13,2020-04-06,"46.862496","103.846656"
"Montenegro",233,2,1,230,2020-04-06,"42.708678","19.37439"
"Morocco",1120,80,81,959,2020-04-06,"31.791702","-7.09262"
"Mozambique",10,0,1,9,2020-04-06,"-18.665695","35.529562"
"MS Zaandam",9,2,0,7,2020-04-06,"52.442039","4.829199"
"Namibia",16,0,3,13,2020-04-06,"-22.95764","18.49041"
"Nepal",9,0,1,8,2020-04-06,"28.394857","84.124008"
"Netherlands",18926,1874,258,16794,2020-04-06,"52.132633","5.291266"
"New Zealand",1106,1,176,929,2020-04-06,"-40.900557","174.885971"
"Nicaragua",6,1,0,5,2020-04-06,"12.865416","-85.207229"
"Niger",253,10,26,217,2020-04-06,"17.607789","8.081666"
"Nigeria",238,5,35,198,2020-04-06,"9.081999","8.675277"
"North Macedonia",570,23,30,517,2020-04-06,"41.608635","21.745275"
"Norway",5865,76,32,5757,2020-04-06,"60.472024","8.468946"
"Oman",331,2,61,268,2020-04-06,"21.512583","55.923255"
"Pakistan",3766,53,259,3454,2020-04-06,"30.375321","69.345116"
"Panama",1988,54,13,1921,2020-04-06,"8.537981","-80.782127"
"Papua New Guinea",2,0,0,2,2020-04-06,"-6.314993","143.95555"
"Paraguay",113,5,12,96,2020-04-06,"-23.442503","-58.443832"
"Peru",2561,92,997,1472,2020-04-06,"-9.189967","-75.015152"
"Philippines",3660,163,73,3424,2020-04-06,"12.879721","121.774017"
"Poland",4413,107,162,4144,2020-04-06,"51.919438","19.145136"
"Portugal",11730,311,140,11279,2020-04-06,"39.399872","-8.224454"
"Qatar",1832,4,131,1697,2020-04-06,"25.354826","51.183884"
"Romania",4057,176,406,3475,2020-04-06,"45.943161","24.96676"
"Russia",6343,47,406,5890,2020-04-06,"61.52401","105.318756"
"Rwanda",105,0,4,101,2020-04-06,"-1.940278","29.873888"
"Saint Kitts and Nevis",10,0,0,10,2020-04-06,"17.357822","-62.782998"
"Saint Lucia",14,0,1,13,2020-04-06,"13.909444","-60.978893"
"Saint Vincent and the Grenadines",7,0,1,6,2020-04-06,"12.984305","-61.287228"
"San Marino",266,32,35,199,2020-04-06,"43.94236","12.457777"
"Sao Tome and Principe",4,0,0,4,2020-04-06,"0.18636","6.613081"
"Saudi Arabia",2605,38,551,2016,2020-04-06,"23.885942","45.079162"
"Senegal",226,2,92,132,2020-04-06,"14.497401","-14.452362"
"Serbia",2200,58,0,2142,2020-04-06,"44.016521","21.005859"
"Seychelles",11,0,0,11,2020-04-06,"-4.679574","55.491977"
"Sierra Leone",6,0,0,6,2020-04-06,"8.460555","-11.779889"
"Singapore",1375,6,344,1025,2020-04-06,"1.352083","103.819836"
"Slovakia",534,2,8,524,2020-04-06,"48.669026","19.699024"
"Slovenia",1021,30,102,889,2020-04-06,"46.151241","14.995463"
"Somalia",7,0,1,6,2020-04-06,"5.152149","46.199616"
"South Africa",1686,12,95,1579,2020-04-06,"-30.559482","22.937506"
"South Sudan",1,0,0,1,2020-04-06,"6.8770","31.3070"
"South Sudan",1,0,0,1,2020-04-06,"6.8770","31.3070"
"Spain",136675,13341,40437,82897,2020-04-06,"40.463667","-3.74922"
"Sri Lanka",178,5,38,135,2020-04-06,"7.873054","80.771797"
"Sudan",12,2,2,8,2020-04-06,"12.862807","30.217636"
"Suriname",10,1,0,9,2020-04-06,"3.919305","-56.027783"
"Sweden",7206,477,205,6524,2020-04-06,"60.128161","18.643501"
"Switzerland",21657,765,8056,12836,2020-04-06,"46.818188","8.227512"
"Syria",19,2,2,15,2020-04-06,"34.802075","38.996815"
"Taiwan*",373,5,57,311,2020-04-06,"23.69781","120.960515"
"Tanzania",24,1,3,20,2020-04-06,"-6.369028","34.888822"
"Thailand",2220,26,793,1401,2020-04-06,"15.870032","100.992541"
"Timor-Leste",1,0,0,1,2020-04-06,"-8.874217","125.727539"
"Togo",58,3,23,32,2020-04-06,"8.619543","0.824782"
"Trinidad and Tobago",105,8,1,96,2020-04-06,"10.691803","-61.222503"
"Tunisia",596,22,5,569,2020-04-06,"33.886917","9.537499"
"Turkey",30217,649,1326,28242,2020-04-06,"38.963745","35.243322"
"Uganda",52,0,0,52,2020-04-06,"1.373333","32.290275"
"Ukraine",1319,38,28,1253,2020-04-06,"48.379433","31.16558"
"United Arab Emirates",2076,11,167,1898,2020-04-06,"23.424076","53.847818"
"United Kingdom",52279,5385,287,46607,2020-04-06,"55.378051","-3.435973"
"Uruguay",406,6,104,296,2020-04-06,"-32.522779","-55.765835"
"US",366667,10783,19581,336303,2020-04-06,"37.09024","-95.712891"
"Uzbekistan",457,2,30,425,2020-04-06,"41.377491","64.585262"
"Venezuela",165,7,65,93,2020-04-06,"6.42375","-66.58973"
"Vietnam",245,0,95,150,2020-04-06,"14.058324","108.277199"
"West Bank and Gaza",254,1,24,229,2020-04-06,"31.952162","35.233154"
"Western Sahara",4,0,0,4,2020-04-06,"24.215527","-12.885834"
"Zambia",39,1,5,33,2020-04-06,"-13.133897","27.849332"
"Zimbabwe",10,1,0,9,2020-04-06,"-19.015438","29.154857"
"Afghanistan",349,7,15,327,2020-04-05,"33.93911","67.709953"
"Albania",361,20,104,237,2020-04-05,"41.153332","20.168331"
"Algeria",1320,152,90,1078,2020-04-05,"28.033886","1.659626"
"Andorra",501,18,26,457,2020-04-05,"42.546245","1.601554"
"Angola",14,2,2,10,2020-04-05,"-11.202692","17.873887"
"Antigua and Barbuda",15,0,0,15,2020-04-05,"17.060816","-61.796428"
"Argentina",1451,44,280,1127,2020-04-05,"-38.416097","-63.616672"
"Armenia",822,7,57,758,2020-04-05,"40.069099","45.038189"
"Australia",5687,35,757,4895,2020-04-05,"-25.274398","133.775136"
"Austria",12051,204,2998,8849,2020-04-05,"47.516231","14.550072"
"Azerbaijan",584,7,32,545,2020-04-05,"40.143105","47.576927"
"Bahamas",28,4,0,24,2020-04-05,"25.03428","-77.39628"
"Bahrain",700,4,431,265,2020-04-05,"25.930414","50.637772"
"Bangladesh",88,9,33,46,2020-04-05,"23.684994","90.356331"
"Barbados",56,1,6,49,2020-04-05,"13.193887","-59.543198"
"Belarus",562,8,52,502,2020-04-05,"53.709807","27.953389"
"Belgium",19691,1447,3751,14493,2020-04-05,"50.503887","4.469936"
"Belize",5,0,0,5,2020-04-05,"17.189877","-88.49765"
"Benin",22,0,5,17,2020-04-05,"9.30769","2.315834"
"Bhutan",5,0,2,3,2020-04-05,"27.514162","90.433601"
"Bolivia",157,10,2,145,2020-04-05,"-16.290154","-63.588653"
"Bosnia and Herzegovina",654,23,30,601,2020-04-05,"43.915886","17.679076"
"Botswana",6,1,0,5,2020-04-05,"-22.328474","24.684866"
"Brazil",11130,486,127,10517,2020-04-05,"-14.235004","-51.92528"
"Brunei",135,1,73,61,2020-04-05,"4.535277","114.727669"
"Bulgaria",531,20,37,474,2020-04-05,"42.733883","25.48583"
"Burkina Faso",345,17,90,238,2020-04-05,"12.238333","-1.561593"
"Burma",21,1,0,20,2020-04-05,"21.913965","95.956223"
"Burundi",3,0,0,3,2020-04-05,"-3.373056","29.918886"
"Cabo Verde",7,1,0,6,2020-04-05,"16.002082","-24.013197"
"Cambodia",114,0,50,64,2020-04-05,"12.565679","104.990963"
"Cameroon",650,9,17,624,2020-04-05,"7.369722","12.354722"
"Canada",15756,259,3012,12485,2020-04-05,"56.130366","-106.346771"
"Central African Republic",8,0,0,8,2020-04-05,"6.611111","20.939444"
"Chad",9,0,0,9,2020-04-05,"15.454166","18.732207"
"Chile",4471,34,618,3819,2020-04-05,"-35.675147","-71.542969"
"China",82602,3333,77207,2062,2020-04-05,"35.86166","104.195397"
"Colombia",1485,35,88,1362,2020-04-05,"4.570868","-74.297333"
"Congo (Brazzaville)",45,5,2,38,2020-04-05,"-0.228021","15.827659"
"Congo (Kinshasa)",154,18,3,133,2020-04-05,"-4.038333","21.758664"
"Costa Rica",454,2,16,436,2020-04-05,"9.748917","-83.753428"
"Cote d'Ivoire",261,3,37,221,2020-04-05,"7.539989","-5.54708"
"Croatia",1182,15,125,1042,2020-04-05,"45.1","15.2"
"Cuba",320,8,15,297,2020-04-05,"21.521757","-77.781167"
"Cyprus",446,9,37,400,2020-04-05,"35.126413","33.429859"
"Czechia",4587,67,96,4424,2020-04-05,"49.817492","15.472962"
"Denmark",4561,179,1429,2953,2020-04-05,"56.26392","9.501785"
"Diamond Princess",712,11,619,82,2020-04-05,"37.749860","-122.597784"
"Djibouti",59,0,9,50,2020-04-05,"11.825138","42.590275"
"Dominica",14,0,0,14,2020-04-05,"15.414999","-61.370976"
"Dominican Republic",1745,82,17,1646,2020-04-05,"18.735693","-70.162651"
"Ecuador",3646,180,100,3366,2020-04-05,"-1.831239","-78.183406"
"Egypt",1173,78,247,848,2020-04-05,"26.820553","30.802498"
"El Salvador",62,3,2,57,2020-04-05,"13.794185","-88.89653"
"Equatorial Guinea",16,0,1,15,2020-04-05,"1.650801","10.267895"
"Eritrea",29,0,0,29,2020-04-05,"15.179384","39.782334"
"Estonia",1097,15,62,1020,2020-04-05,"58.595272","25.013607"
"Eswatini",9,0,0,9,2020-04-05,"-26.522503","31.465866"
"Ethiopia",43,2,4,37,2020-04-05,"9.145","40.489673"
"Fiji",12,0,0,12,2020-04-05,"-16.578193","179.414413"
"Finland",1927,28,300,1599,2020-04-05,"61.92411","25.748151"
"France",93773,8093,16349,69331,2020-04-05,"46.227638","2.213749"
"Gabon",21,1,1,19,2020-04-05,"-0.803689","11.609444"
"Gambia",4,1,2,1,2020-04-05,"13.443182","-15.310139"
"Georgia",174,2,36,136,2020-04-05,"42.315407","43.356892"
"Germany",100123,1584,28700,69839,2020-04-05,"51.165691","10.451526"
"Ghana",214,5,31,178,2020-04-05,"7.946527","-1.023194"
"Greece",1735,73,78,1584,2020-04-05,"39.074208","21.824312"
"Grenada",12,0,0,12,2020-04-05,"12.262776","-61.604171"
"Guatemala",61,2,15,44,2020-04-05,"15.783471","-90.230759"
"Guinea",121,0,5,116,2020-04-05,"9.945587","-9.696645"
"Guinea-Bissau",18,0,0,18,2020-04-05,"11.803749","-15.180413"
"Guyana",24,4,0,20,2020-04-05,"4.860416","-58.93018"
"Haiti",21,1,1,19,2020-04-05,"18.971187","-72.285215"
"Holy See",7,0,0,7,2020-04-05,"41.902916","12.453389"
"Honduras",268,22,6,240,2020-04-05,"15.199999","-86.241905"
"Hungary",733,34,66,633,2020-04-05,"47.162494","19.503304"
"Iceland",1486,4,428,1054,2020-04-05,"64.963051","-19.020835"
"India",3588,99,229,3260,2020-04-05,"20.593684","78.96288"
"Indonesia",2273,198,164,1911,2020-04-05,"-0.789275","113.921327"
"Iran",58226,3603,19736,34887,2020-04-05,"32.427908","53.688046"
"Iraq",961,61,279,621,2020-04-05,"33.223191","43.679291"
"Ireland",4994,158,25,4811,2020-04-05,"53.41291","-8.24389"
"Israel",8430,49,477,7904,2020-04-05,"31.046051","34.851612"
"Italy",128948,15887,21815,91246,2020-04-05,"41.87194","12.56738"
"Jamaica",58,3,8,47,2020-04-05,"18.109581","-77.297508"
"Japan",3139,77,514,2548,2020-04-05,"36.204824","138.252924"
"Jordan",345,5,110,230,2020-04-05,"30.585164","36.238414"
"Kazakhstan",584,6,42,536,2020-04-05,"48.019573","66.923684"
"Kenya",142,4,4,134,2020-04-05,"-0.023559","37.906193"
"Korea, South",10237,183,6463,3591,2020-04-05,"35.907757","127.766922"
"Kosovo",145,1,23,121,2020-04-05,"42.602636","20.902977"
"Kuwait",556,1,99,456,2020-04-05,"29.31166","47.481766"
"Kyrgyzstan",147,1,9,137,2020-04-05,"41.20438","74.766098"
"Laos",11,0,0,11,2020-04-05,"19.85627","102.495496"
"Latvia",533,1,1,531,2020-04-05,"56.879635","24.603189"
"Lebanon",527,18,54,455,2020-04-05,"33.854721","35.862285"
"Liberia",13,3,3,7,2020-04-05,"6.428055","-9.429499"
"Libya",18,1,0,17,2020-04-05,"26.3351","17.228331"
"Liechtenstein",77,1,0,76,2020-04-05,"47.166","9.555373"
"Lithuania",811,13,7,791,2020-04-05,"55.169438","23.881275"
"Luxembourg",2804,36,500,2268,2020-04-05,"49.815273","6.129583"
"Madagascar",72,0,2,70,2020-04-05,"-18.766947","46.869107"
"Malawi",4,0,0,4,2020-04-05,"-13.254308","34.301525"
"Malawi",4,0,0,4,2020-04-05,"-13.254308","34.301525"
"Malaysia",3662,61,1005,2596,2020-04-05,"4.210484","101.975766"
"Maldives",19,0,13,6,2020-04-05,"3.202778","73.22068"
"Mali",45,5,1,39,2020-04-05,"17.570692","-3.996166"
"Malta",227,0,5,222,2020-04-05,"35.937496","14.375416"
"Mauritania",6,1,2,3,2020-04-05,"21.00789","-10.940835"
"Mauritius",227,7,7,213,2020-04-05,"-20.348404","57.552152"
"Mexico",1890,79,633,1178,2020-04-05,"23.634501","-102.552784"
"Moldova",864,15,30,819,2020-04-05,"47.411631","28.369885"
"Monaco",73,1,3,69,2020-04-05,"43.750298","7.412841"
"Mongolia",14,0,2,12,2020-04-05,"46.862496","103.846656"
"Montenegro",214,2,1,211,2020-04-05,"42.708678","19.37439"
"Morocco",1021,70,76,875,2020-04-05,"31.791702","-7.09262"
"Mozambique",10,0,1,9,2020-04-05,"-18.665695","35.529562"
"MS Zaandam",9,2,0,7,2020-04-05,"52.442039","4.829199"
"Namibia",16,0,3,13,2020-04-05,"-22.95764","18.49041"
"Nepal",9,0,1,8,2020-04-05,"28.394857","84.124008"
"Netherlands",17953,1771,257,15925,2020-04-05,"52.132633","5.291266"
"New Zealand",1039,1,156,882,2020-04-05,"-40.900557","174.885971"
"Nicaragua",6,1,0,5,2020-04-05,"12.865416","-85.207229"
"Niger",184,10,13,161,2020-04-05,"17.607789","8.081666"
"Nigeria",232,5,33,194,2020-04-05,"9.081999","8.675277"
"North Macedonia",555,18,23,514,2020-04-05,"41.608635","21.745275"
"Norway",5687,71,32,5584,2020-04-05,"60.472024","8.468946"
"Oman",298,2,61,235,2020-04-05,"21.512583","55.923255"
"Pakistan",3157,47,211,2899,2020-04-05,"30.375321","69.345116"
"Panama",1801,46,13,1742,2020-04-05,"8.537981","-80.782127"
"Papua New Guinea",1,0,0,1,2020-04-05,"-6.314993","143.95555"
"Paraguay",104,3,12,89,2020-04-05,"-23.442503","-58.443832"
"Peru",2281,83,989,1209,2020-04-05,"-9.189967","-75.015152"
"Philippines",3246,152,64,3030,2020-04-05,"12.879721","121.774017"
"Poland",4102,94,134,3874,2020-04-05,"51.919438","19.145136"
"Portugal",11278,295,75,10908,2020-04-05,"39.399872","-8.224454"
"Qatar",1604,4,123,1477,2020-04-05,"25.354826","51.183884"
"Romania",3864,151,374,3339,2020-04-05,"45.943161","24.96676"
"Russia",5389,45,355,4989,2020-04-05,"61.52401","105.318756"
"Rwanda",104,0,4,100,2020-04-05,"-1.940278","29.873888"
"Saint Kitts and Nevis",10,0,0,10,2020-04-05,"17.357822","-62.782998"
"Saint Lucia",14,0,1,13,2020-04-05,"13.909444","-60.978893"
"Saint Vincent and the Grenadines",7,0,1,6,2020-04-05,"12.984305","-61.287228"
"San Marino",266,32,35,199,2020-04-05,"43.94236","12.457777"
"Saudi Arabia",2402,34,488,1880,2020-04-05,"23.885942","45.079162"
"Senegal",222,2,82,138,2020-04-05,"14.497401","-14.452362"
"Serbia",1908,51,0,1857,2020-04-05,"44.016521","21.005859"
"Seychelles",10,0,0,10,2020-04-05,"-4.679574","55.491977"
"Sierra Leone",6,0,0,6,2020-04-05,"8.460555","-11.779889"
"Singapore",1309,6,320,983,2020-04-05,"1.352083","103.819836"
"Slovakia",485,1,10,474,2020-04-05,"48.669026","19.699024"
"Slovenia",997,28,79,890,2020-04-05,"46.151241","14.995463"
"Somalia",7,0,1,6,2020-04-05,"5.152149","46.199616"
"South Africa",1655,11,95,1549,2020-04-05,"-30.559482","22.937506"
"South Sudan",1,0,0,1,2020-04-05,"6.8770","31.3070"
"South Sudan",1,0,0,1,2020-04-05,"6.8770","31.3070"
"Spain",131646,12641,38080,80925,2020-04-05,"40.463667","-3.74922"
"Sri Lanka",176,5,33,138,2020-04-05,"7.873054","80.771797"
"Sudan",12,2,2,8,2020-04-05,"12.862807","30.217636"
"Suriname",10,1,0,9,2020-04-05,"3.919305","-56.027783"
"Sweden",6830,401,205,6224,2020-04-05,"60.128161","18.643501"
"Switzerland",21100,715,6415,13970,2020-04-05,"46.818188","8.227512"
"Syria",19,2,2,15,2020-04-05,"34.802075","38.996815"
"Taiwan*",363,5,50,308,2020-04-05,"23.69781","120.960515"
"Tanzania",22,1,3,18,2020-04-05,"-6.369028","34.888822"
"Thailand",2169,23,793,1353,2020-04-05,"15.870032","100.992541"
"Timor-Leste",1,0,0,1,2020-04-05,"-8.874217","125.727539"
"Togo",44,3,20,21,2020-04-05,"8.619543","0.824782"
"Trinidad and Tobago",104,7,1,96,2020-04-05,"10.691803","-61.222503"
"Tunisia",574,22,5,547,2020-04-05,"33.886917","9.537499"
"Turkey",27069,574,1042,25453,2020-04-05,"38.963745","35.243322"
"Uganda",52,0,0,52,2020-04-05,"1.373333","32.290275"
"Ukraine",1308,37,28,1243,2020-04-05,"48.379433","31.16558"
"United Arab Emirates",1799,10,144,1645,2020-04-05,"23.424076","53.847818"
"United Kingdom",48436,4943,229,43264,2020-04-05,"55.378051","-3.435973"
"Uruguay",400,5,93,302,2020-04-05,"-32.522779","-55.765835"
"US",337072,9619,17448,310005,2020-04-05,"37.09024","-95.712891"
"Uzbekistan",342,2,30,310,2020-04-05,"41.377491","64.585262"
"Venezuela",159,7,52,100,2020-04-05,"6.42375","-66.58973"
"Vietnam",241,0,90,151,2020-04-05,"14.058324","108.277199"
"West Bank and Gaza",237,1,25,211,2020-04-05,"31.952162","35.233154"
"Western Sahara",4,0,0,4,2020-04-05,"24.215527","-12.885834"
"Zambia",39,1,3,35,2020-04-05,"-13.133897","27.849332"
"Zimbabwe",9,1,0,8,2020-04-05,"-19.015438","29.154857"
"Afghanistan",299,7,10,282,2020-04-04,"33.93911","67.709953"
"Albania",333,20,99,214,2020-04-04,"41.153332","20.168331"
"Algeria",1251,130,90,1031,2020-04-04,"28.033886","1.659626"
"Andorra",466,17,21,428,2020-04-04,"42.546245","1.601554"
"Angola",10,2,2,6,2020-04-04,"-11.202692","17.873887"
"Antigua and Barbuda",15,0,0,15,2020-04-04,"17.060816","-61.796428"
"Argentina",1451,43,279,1129,2020-04-04,"-38.416097","-63.616672"
"Armenia",770,7,43,720,2020-04-04,"40.069099","45.038189"
"Australia",5550,30,701,4819,2020-04-04,"-25.274398","133.775136"
"Austria",11781,186,2507,9088,2020-04-04,"47.516231","14.550072"
"Azerbaijan",521,5,32,484,2020-04-04,"40.143105","47.576927"
"Bahamas",28,4,0,24,2020-04-04,"25.03428","-77.39628"
"Bahrain",688,4,423,261,2020-04-04,"25.930414","50.637772"
"Bangladesh",70,8,30,32,2020-04-04,"23.684994","90.356331"
"Barbados",52,0,0,52,2020-04-04,"13.193887","-59.543198"
"Belarus",440,5,53,382,2020-04-04,"53.709807","27.953389"
"Belgium",18431,1283,3247,13901,2020-04-04,"50.503887","4.469936"
"Belize",4,0,0,4,2020-04-04,"17.189877","-88.49765"
"Benin",16,0,2,14,2020-04-04,"9.30769","2.315834"
"Bhutan",5,0,2,3,2020-04-04,"27.514162","90.433601"
"Bolivia",139,10,1,128,2020-04-04,"-16.290154","-63.588653"
"Bosnia and Herzegovina",624,21,30,573,2020-04-04,"43.915886","17.679076"
"Botswana",4,1,0,3,2020-04-04,"-22.328474","24.684866"
"Brazil",10360,445,127,9788,2020-04-04,"-14.235004","-51.92528"
"Brunei",135,1,66,68,2020-04-04,"4.535277","114.727669"
"Bulgaria",503,17,34,452,2020-04-04,"42.733883","25.48583"
"Burkina Faso",318,16,66,236,2020-04-04,"12.238333","-1.561593"
